29,Mattie,1880,F,704
29,Mattie,1880,F,704
29,Mattie,1880,F,704
964,Clarence,1880,M,730
964,Clarence,1880,M,730
964,Clarence,1880,M,730
32,Lillian,1880,F,672
32,Lillian,1880,F,672
2959,Clarence,1881,M,668
2959,Clarence,1881,M,668
2959,Clarence,1881,M,668
2959,Clarence,1881,M,668
2959,Clarence,1881,M,668
2035,Jessie,1881,F,661
2035,Jessie,1881,F,661
2035,Jessie,1881,F,661
2034,Eva,1881,F,661
2034,Eva,1881,F,661
4989,Jesse,1882,M,660
4989,Jesse,1882,M,660
4989,Jesse,1882,M,660
4989,Jesse,1882,M,660
4989,Jesse,1882,M,660
2036,Lula,1881,F,655
2036,Lula,1881,F,655
3983,Daisy,1882,F,648
3983,Daisy,1882,F,648
966,Andrew,1880,M,644
966,Andrew,1880,M,644
2037,Myrtle,1881,F,643
2037,Myrtle,1881,F,643
2036,Lula,1881,F,655
2036,Lula,1881,F,655
2960,Richard,1881,M,641
2960,Richard,1881,M,641
2960,Richard,1881,M,641
3975,Lula,1882,F,780
3975,Lula,1882,F,780
2039,Edna,1881,F,637
2039,Edna,1881,F,637
35,Helen,1880,F,636
35,Helen,1880,F,636
2039,Edna,1881,F,637
2039,Edna,1881,F,637
2039,Edna,1881,F,637
2039,Edna,1881,F,637
2039,Edna,1881,F,637
2039,Edna,1881,F,637
39,Lula,1880,F,621
39,Lula,1880,F,621
2040,Catherine,1881,F,635
2040,Catherine,1881,F,635
2040,Catherine,1881,F,635
40,Myrtle,1880,F,615
40,Myrtle,1880,F,615
40,Myrtle,1880,F,615
2961,Joe,1881,M,639
2961,Joe,1881,M,639
2961,Joe,1881,M,639
2044,Lucy,1881,F,611
2044,Lucy,1881,F,611
2044,Lucy,1881,F,611
3987,Katherine,1882,F,591
3987,Katherine,1882,F,591
3976,Eva,1882,F,765
3976,Eva,1882,F,765
969,Will,1880,M,588
969,Will,1880,M,588
969,Will,1880,M,588
969,Will,1880,M,588
969,Will,1880,M,588
46,Maggie,1880,F,582
46,Maggie,1880,F,582
46,Maggie,1880,F,582
2031,Rose,1881,F,734
2031,Rose,1881,F,734
2047,Fannie,1881,F,565
2047,Fannie,1881,F,565
2047,Fannie,1881,F,565
2047,Fannie,1881,F,565
2047,Fannie,1881,F,565
2963,Ernest,1881,M,571
2963,Ernest,1881,M,571
3990,Effie,1882,F,561
3990,Effie,1882,F,561
3990,Effie,1882,F,561
2050,Lena,1881,F,555
2050,Lena,1881,F,555
2050,Lena,1881,F,555
3989,Agnes,1882,F,565
3989,Agnes,1882,F,565
3991,Blanche,1882,F,547
3991,Blanche,1882,F,547
3992,Rosa,1882,F,542
3992,Rosa,1882,F,542
3992,Rosa,1882,F,542
3992,Rosa,1882,F,542
3992,Rosa,1882,F,542
2022,Bessie,1881,F,903
2022,Bessie,1881,F,903
2966,Oscar,1881,M,530
2966,Oscar,1881,M,530
2967,Daniel,1881,M,527
2967,Daniel,1881,M,527
3994,May,1882,F,511
3994,May,1882,F,511
52,Rosa,1880,F,507
52,Rosa,1880,F,507
3996,Stella,1882,F,506
3996,Stella,1882,F,506
3994,May,1882,F,511
3994,May,1882,F,511
3994,May,1882,F,511
2054,Marie,1881,F,499
2054,Marie,1881,F,499
973,Peter,1880,M,496
973,Peter,1880,M,496
2968,Willie,1881,M,498
2968,Willie,1881,M,498
2968,Willie,1881,M,498
4996,Roy,1882,M,521
4996,Roy,1882,M,521
2970,Sam,1881,M,481
2970,Sam,1881,M,481
3996,Stella,1882,F,506
3996,Stella,1882,F,506
3996,Stella,1882,F,506
976,Willie,1880,M,476
976,Willie,1880,M,476
56,Nora,1880,F,471
56,Nora,1880,F,471
56,Nora,1880,F,471
977,Alfred,1880,M,469
977,Alfred,1880,M,469
5000,Frederick,1882,M,457
5000,Frederick,1882,M,457
2057,Blanche,1881,F,456
2057,Blanche,1881,F,456
2057,Blanche,1881,F,456
4000,Elsie,1882,F,448
4000,Elsie,1882,F,448
5002,Lewis,1882,M,441
5002,Lewis,1882,M,441
2972,Roy,1881,M,440
2972,Roy,1881,M,440
2972,Roy,1881,M,440
4003,Nettie,1882,F,439
4003,Nettie,1882,F,439
4003,Nettie,1882,F,439
56,Nora,1880,F,471
56,Nora,1880,F,471
56,Nora,1880,F,471
2975,Peter,1881,M,428
2975,Peter,1881,M,428
2975,Peter,1881,M,428
59,Blanche,1880,F,427
59,Blanche,1880,F,427
59,Blanche,1880,F,427
59,Blanche,1880,F,427
2062,Nettie,1881,F,419
2062,Nettie,1881,F,419
2064,Stella,1881,F,416
2064,Stella,1881,F,416
2064,Stella,1881,F,416
60,Stella,1880,F,414
60,Stella,1880,F,414
60,Stella,1880,F,414
2065,Ellen,1881,F,413
2065,Ellen,1881,F,413
2065,Ellen,1881,F,413
2065,Ellen,1881,F,413
